Berlin,"Berlin, Stadt",Berlin
St. Wendel,"St. Wendel, Kreisstadt",Saarland
Plettenberg,"Plettenberg, Stadt",Nordrhein-Westfalen
Geislingen an der Steige,"Geislingen an der Steige, Stadt",Baden-Württemberg
Ilmenau,"Ilmenau, Stadt",Thüringen
Weinstadt,"Weinstadt, Stadt",Baden-Württemberg
Emmendingen,"Emmendingen, Stadt",Baden-Württemberg
Unterschleißheim,"Unterschleißheim, St",Bayern
Petershagen,"Petershagen, Stadt",Nordrhein-Westfalen
Selm,"Selm, Stadt",Nordrhein-Westfalen
Griesheim,"Griesheim, Stadt",Hessen
Warstein,"Warstein, Stadt",Nordrhein-Westfalen
Rinteln,"Rinteln, Stadt",Niedersachsen
Lauf a.d.Pegnitz,"Lauf a.d.Pegnitz, St",Bayern
Brilon,"Brilon, Stadt",Nordrhein-Westfalen
Garmisch-Partenkirchen,"Garmisch-Partenkirchen, M",Bayern
Strausberg,"Strausberg, Stadt",Brandenburg
Blankenfelde-Mahlow,Blankenfelde-Mahlow,Brandenburg
Hennigsdorf,"Hennigsdorf, Stadt",Brandenburg
Neckarsulm,"Neckarsulm, Stadt",Baden-Württemberg
Heiligenhaus,"Heiligenhaus, Stadt",Nordrhein-Westfalen
Leimen,"Leimen, Stadt",Baden-Württemberg
Saalfeld/Saale,"Saalfeld/Saale, Stadt",Thüringen
Lübbecke,"Lübbecke, Stadt",Nordrhein-Westfalen
Senftenberg,"Senftenberg, Stadt",Brandenburg
Sprockhövel,"Sprockhövel, Stadt",Nordrhein-Westfalen
Wiehl,"Wiehl, Stadt",Nordrhein-Westfalen
Einbeck,"Einbeck, Stadt",Niedersachsen
Schmallenberg,"Schmallenberg, Stadt",Nordrhein-Westfalen
Zirndorf,"Zirndorf, St",Bayern
Delitzsch,"Delitzsch, Stadt",Sachsen
Olching,"Olching, St",Bayern
Lohne (Oldenburg),"Lohne (Oldenburg), Stadt",Niedersachsen
Norden,"Norden, Stadt",Niedersachsen
Heppenheim (Bergstraße),"Heppenheim (Bergstraße), Kreisstadt",Hessen
Verl,"Verl, Stadt",Nordrhein-Westfalen
Hattersheim am Main,"Hattersheim am Main, Stadt",Hessen
Wiesloch,"Wiesloch, Stadt",Baden-Württemberg
Olpe,"Olpe, Stadt",Nordrhein-Westfalen
Espelkamp,"Espelkamp, Stadt",Nordrhein-Westfalen
Mühlacker,"Mühlacker, Stadt",Baden-Württemberg
Bad Honnef,"Bad Honnef, Stadt",Nordrhein-Westfalen
Salzwedel,"Salzwedel, Hansestadt",Sachsen-Anhalt
Hohen Neuendorf,"Hohen Neuendorf, Stadt",Brandenburg
Limbach-Oberfrohna,"Limbach-Oberfrohna, Stadt",Sachsen
Ehingen (Donau),"Ehingen (Donau), Stadt",Baden-Württemberg
Eisleben,"Eisleben, Lutherstadt",Sachsen-Anhalt
Salzkotten,"Salzkotten, Stadt",Nordrhein-Westfalen
Lindau (Bodensee),"Lindau (Bodensee), GKSt",Bayern
Achern,"Achern, Stadt",Baden-Württemberg
Friedrichsdorf,"Friedrichsdorf, Stadt",Hessen
Attendorn,"Attendorn, Stadt",Nordrhein-Westfalen
Horb am Neckar,"Horb am Neckar, Stadt",Baden-Württemberg
Rottweil,"Rottweil, Stadt",Baden-Württemberg
Rathenow,"Rathenow, Stadt",Brandenburg
Bad Oldesloe,"Bad Oldesloe, Stadt",Schleswig-Holstein
Roth,"Roth, St",Bayern
Übach-Palenberg,"Übach-Palenberg, Stadt",Nordrhein-Westfalen
Ditzingen,"Ditzingen, Stadt",Baden-Württemberg
Ingelheim am Rhein,"Ingelheim am Rhein, Stadt",Rheinland-Pfalz
Weiterstadt,"Weiterstadt, Stadt",Hessen
Butzbach,"Butzbach, Stadt",Hessen
Bingen am Rhein,"Bingen am Rhein, Stadt",Rheinland-Pfalz
Groß-Gerau,"Groß-Gerau, Stadt",Hessen
Obertshausen,"Obertshausen, Stadt",Hessen
Schleswig,"Schleswig, Stadt",Schleswig-Holstein
Dillenburg,"Dillenburg, Stadt",Hessen
Hann. Münden,"Hann. Münden, Stadt",Niedersachsen
Harsewinkel,"Harsewinkel, Stadt",Nordrhein-Westfalen
Pfungstadt,"Pfungstadt, Stadt",Hessen
Pfaffenhofen a.d.Ilm,"Pfaffenhofen a.d.Ilm, St",Bayern
Ludwigsfelde,"Ludwigsfelde, Stadt",Brandenburg
Arnstadt,"Arnstadt, Stadt",Thüringen
Markkleeberg,"Markkleeberg, Stadt",Sachsen
Varel,"Varel, Stadt",Niedersachsen
Ellwangen (Jagst),"Ellwangen (Jagst), Stadt",Baden-Württemberg
Syke,"Syke, Stadt",Niedersachsen
Lüdinghausen,"Lüdinghausen, Stadt",Nordrhein-Westfalen
Meckenheim,"Meckenheim, Stadt",Nordrhein-Westfalen
Warburg,"Warburg, Stadt",Nordrhein-Westfalen
Korbach,"Korbach, Kreisstadt",Hessen
Glauchau,"Glauchau, Stadt",Sachsen
Idstein,"Idstein, Stadt",Hessen
Remseck am Neckar,"Remseck am Neckar, Stadt",Baden-Württemberg
Walsrode,"Walsrode, Stadt",Niedersachsen
Gardelegen,"Gardelegen, Hansestadt",Sachsen-Anhalt
Werder (Havel),"Werder (Havel), Stadt",Brandenburg
Netphen,"Netphen, Stadt",Nordrhein-Westfalen
Ronnenberg,"Ronnenberg, Stadt",Niedersachsen
Wallenhorst,Wallenhorst,Niedersachsen
Helmstedt,"Helmstedt, Stadt",Niedersachsen
Geretsried,"Geretsried, St",Bayern
Stutensee,"Stutensee, Stadt",Baden-Württemberg
Sehnde,"Sehnde, Stadt",Niedersachsen
Mosbach,"Mosbach, Stadt",Baden-Württemberg
Rudolstadt,"Rudolstadt, Stadt",Thüringen
Alfter,Alfter,Nordrhein-Westfalen
Bedburg,"Bedburg, Stadt",Nordrhein-Westfalen
Burg,"Burg, Stadt",Sachsen-Anhalt
Weingarten,"Weingarten, Stadt",Baden-Württemberg
Osterode am Harz,"Osterode am Harz, Stadt",Niedersachsen
Haren (Ems),"Haren (Ems), Stadt",Niedersachsen
Herdecke,"Herdecke, Stadt",Nordrhein-Westfalen
Spremberg,"Spremberg, Stadt",Brandenburg
Isernhagen,Isernhagen,Niedersachsen
Teltow,"Teltow, Stadt",Brandenburg
Moormerland,Moormerland,Niedersachsen
Wertheim,"Wertheim, Stadt",Baden-Württemberg
Unterhaching,Unterhaching,Bayern
Öhringen,"Öhringen, Stadt",Baden-Württemberg
Zerbst/Anhalt,"Zerbst/Anhalt, Stadt",Sachsen-Anhalt
Sondershausen,"Sondershausen, Stadt",Thüringen
Waldshut-Tiengen,"Waldshut-Tiengen, Stadt",Baden-Württemberg
Vreden,"Vreden, Stadt",Nordrhein-Westfalen
Radevormwald,"Radevormwald, Stadt",Nordrhein-Westfalen
Herzogenaurach,"Herzogenaurach, St",Bayern
Starnberg,"Starnberg, St",Bayern
Jüchen,Jüchen,Nordrhein-Westfalen
Bad Mergentheim,"Bad Mergentheim, Stadt",Baden-Württemberg
Freudenstadt,"Freudenstadt, Stadt",Baden-Württemberg
Husum,"Husum, Stadt",Schleswig-Holstein
Calw,"Calw, Stadt",Baden-Württemberg
Apolda,"Apolda, Stadt",Thüringen
Bad Harzburg,"Bad Harzburg, Stadt",Niedersachsen
Sonneberg,"Sonneberg, Stadt",Thüringen
Westerstede,"Westerstede, Stadt",Niedersachsen
Gelnhausen,"Gelnhausen, Barbarossast., Krst.",Hessen
Lengerich,"Lengerich, Stadt",Nordrhein-Westfalen
Eckernförde,"Eckernförde, Stadt",Schleswig-Holstein
Leutkirch im Allgäu,"Leutkirch im Allgäu, Stadt",Baden-Württemberg
Büren,"Büren, Stadt",Nordrhein-Westfalen
Riedstadt,"Riedstadt, Stadt",Hessen
Überlingen,"Überlingen, Stadt",Baden-Württemberg
Stadthagen,"Stadthagen, Stadt",Niedersachsen
Wipperfürth,"Wipperfürth, Stadt",Nordrhein-Westfalen
Werdau,"Werdau, Stadt",Sachsen
Senden,"Senden, St",Bayern
Waldkraiburg,"Waldkraiburg, St",Bayern
Rees,"Rees, Stadt",Nordrhein-Westfalen
Weilheim i.OB,"Weilheim i.OB, St",Bayern
Vaterstetten,Vaterstetten,Bayern
Karben,"Karben, Stadt",Hessen
Xanten,"Xanten, Stadt",Nordrhein-Westfalen
Duderstadt,"Duderstadt, Stadt",Niedersachsen
Blieskastel,"Blieskastel, Stadt",Saarland
Lindlar,Lindlar,Nordrhein-Westfalen
Waren (Müritz),"Waren (Müritz), Stadt",Mecklenburg-Vorpommern
Halle (Westf.),"Halle (Westf.), Stadt",Nordrhein-Westfalen
Wülfrath,"Wülfrath, Stadt",Nordrhein-Westfalen
Sonthofen,"Sonthofen, St",Bayern
Schwetzingen,"Schwetzingen, Stadt",Baden-Württemberg
Bad Kissingen,"Bad Kissingen, GKSt",Bayern
Soltau,"Soltau, Stadt",Niedersachsen
Nagold,"Nagold, Stadt",Baden-Württemberg
Bad Soden am Taunus,"Bad Soden am Taunus, Stadt",Hessen
Donaueschingen,"Donaueschingen, Stadt",Baden-Württemberg
Neusäß,"Neusäß, St",Bayern
Rotenburg (Wümme),"Rotenburg (Wümme), Stadt",Niedersachsen
Edewecht,Edewecht,Niedersachsen
Rastede,Rastede,Niedersachsen
Meinerzhagen,"Meinerzhagen, Stadt",Nordrhein-Westfalen
Blankenburg (Harz),"Blankenburg (Harz), Stadt",Sachsen-Anhalt
Metzingen,"Metzingen, Stadt",Baden-Württemberg
Gersthofen,"Gersthofen, St",Bayern
Friesoythe,"Friesoythe, Stadt",Niedersachsen
Waldkirch,"Waldkirch, Stadt",Baden-Württemberg
Döbeln,"Döbeln, Stadt",Sachsen
Annaberg-Buchholz,"Annaberg-Buchholz, Stadt",Sachsen
Schramberg,"Schramberg, Stadt",Baden-Württemberg
Büdingen,"Büdingen, Stadt",Hessen
Versmold,"Versmold, Stadt",Nordrhein-Westfalen
Elsdorf,"Elsdorf, Stadt",Nordrhein-Westfalen
Fröndenberg/Ruhr,"Fröndenberg/Ruhr, Stadt",Nordrhein-Westfalen
Eppingen,"Eppingen, Stadt",Baden-Württemberg
Wandlitz,Wandlitz,Brandenburg
Heide,"Heide, Stadt",Schleswig-Holstein
Hockenheim,"Hockenheim, Stadt",Baden-Württemberg
Meiningen,"Meiningen, Stadt",Thüringen
Stadtallendorf,"Stadtallendorf, Stadt",Hessen
Greiz,"Greiz, Stadt",Thüringen
Groß-Umstadt,"Groß-Umstadt, Stadt",Hessen
Geseke,"Geseke, Stadt",Nordrhein-Westfalen
Coswig,"Coswig, Stadt",Sachsen
Herborn,"Herborn, Stadt",Hessen
Wittmund,"Wittmund, Stadt",Niedersachsen
Eschborn,"Eschborn, Stadt",Hessen
Oschersleben (Bode),"Oschersleben (Bode), Stadt",Sachsen-Anhalt
Enger,"Enger, Stadt",Nordrhein-Westfalen
Wilnsdorf,Wilnsdorf,Nordrhein-Westfalen
Schortens,"Schortens, Stadt",Niedersachsen
Neustrelitz,"Neustrelitz, Stadt",Mecklenburg-Vorpommern
Bruchköbel,"Bruchköbel, Stadt",Hessen
Kitzingen,"Kitzingen, GKSt",Bayern
Burgwedel,"Burgwedel, Stadt",Niedersachsen
Dillingen/ Saar,"Dillingen/ Saar, Stadt",Saarland
Ottobrunn,Ottobrunn,Bayern
Marsberg,"Marsberg, Stadt",Nordrhein-Westfalen
Luckenwalde,"Luckenwalde, Stadt",Brandenburg
Aichach,"Aichach, St",Bayern
Steinhagen,Steinhagen,Nordrhein-Westfalen
Lichtenfels,"Lichtenfels, St",Bayern
Holzminden,"Holzminden, Stadt",Niedersachsen
Stadtlohn,"Stadtlohn, Stadt",Nordrhein-Westfalen
Kleinmachnow,Kleinmachnow,Brandenburg
Seligenstadt,"Seligenstadt, Stadt",Hessen
Bad Rappenau,"Bad Rappenau, Stadt",Baden-Württemberg
Traunreut,"Traunreut, St",Bayern
Germersheim,"Germersheim, Stadt",Rheinland-Pfalz
Waghäusel,"Waghäusel, Stadt",Baden-Württemberg
Senden,Senden,Nordrhein-Westfalen
Neu Wulmstorf,Neu Wulmstorf,Niedersachsen
Flörsheim am Main,"Flörsheim am Main, Stadt",Hessen
Puchheim,"Puchheim, St",Bayern
Uetze,Uetze,Niedersachsen
Crimmitschau,"Crimmitschau, Stadt",Sachsen
Haßloch,Haßloch,Rheinland-Pfalz
Quickborn,"Quickborn, Stadt",Schleswig-Holstein
Rheinstetten,"Rheinstetten, Stadt",Baden-Württemberg
Nidderau,"Nidderau, Stadt",Hessen
Oberkirch,"Oberkirch, Stadt",Baden-Württemberg
Kaltenkirchen,"Kaltenkirchen, Stadt",Schleswig-Holstein
Neunkirchen-Seelscheid,Neunkirchen-Seelscheid,Nordrhein-Westfalen
Seesen,"Seesen, Stadt",Niedersachsen
Hiddenhausen,Hiddenhausen,Nordrhein-Westfalen
Laupheim,"Laupheim, Stadt",Baden-Württemberg
Westoverledingen,Westoverledingen,Niedersachsen
Zülpich,"Zülpich, Stadt",Nordrhein-Westfalen
Wenden,Wenden,Nordrhein-Westfalen
Eislingen/Fils,"Eislingen/Fils, Stadt",Baden-Württemberg
Hörstel,"Hörstel, Stadt",Nordrhein-Westfalen
Borna,"Borna, Stadt",Sachsen
Bad Berleburg,"Bad Berleburg, Stadt",Nordrhein-Westfalen
Wachtberg,Wachtberg,Nordrhein-Westfalen
Ennigerloh,"Ennigerloh, Stadt",Nordrhein-Westfalen
Haiger,"Haiger, Stadt",Hessen
Forst (Lausitz),"Forst (Lausitz), Stadt",Brandenburg
Lebach,"Lebach, Stadt",Saarland
Schwanewede,Schwanewede,Niedersachsen
Kürten,Kürten,Nordrhein-Westfalen
Sulzbach-Rosenberg,"Sulzbach-Rosenberg, St",Bayern
Schmalkalden,"Schmalkalden, Kurort, Stadt",Thüringen
Auerbach/Vogtl.,"Auerbach/Vogtl., Stadt",Sachsen
Günzburg,"Günzburg, GKSt",Bayern
Reichenbach im Vogtland,"Reichenbach im Vogtland, Stadt",Sachsen
Gauting,Gauting,Bayern
Bad Schwartau,"Bad Schwartau, Stadt",Schleswig-Holstein
Bad Waldsee,"Bad Waldsee, Stadt",Baden-Württemberg
Eschwege,"Eschwege, Kreisstadt",Hessen
Mössingen,"Mössingen, Stadt",Baden-Württemberg
Haar,Haar,Bayern
Engelskirchen,Engelskirchen,Nordrhein-Westfalen
Sömmerda,"Sömmerda, Stadt",Thüringen
Alfeld (Leine),"Alfeld (Leine), Stadt",Niedersachsen
Nottuln,Nottuln,Nordrhein-Westfalen
Bückeburg,"Bückeburg, Stadt",Niedersachsen
Gröbenzell,Gröbenzell,Bayern
Prenzlau,"Prenzlau, Stadt",Brandenburg
Vlotho,"Vlotho, Stadt",Nordrhein-Westfalen
Rhede,"Rhede, Stadt",Nordrhein-Westfalen
Bad Pyrmont,"Bad Pyrmont, Stadt",Niedersachsen
Torgau,"Torgau, Stadt",Sachsen
Nördlingen,"Nördlingen, GKSt",Bayern
Püttlingen,"Püttlingen, Stadt",Saarland
Panketal,Panketal,Brandenburg
Giengen an der Brenz,"Giengen an der Brenz, Stadt",Baden-Württemberg
Ochtrup,"Ochtrup, Stadt",Nordrhein-Westfalen
Schwalmtal,Schwalmtal,Nordrhein-Westfalen
Waldbröl,"Waldbröl, Stadt",Nordrhein-Westfalen
Windeck,Windeck,Nordrhein-Westfalen
Wildeshausen,"Wildeshausen, Stadt",Niedersachsen
Reichshof,Reichshof,Nordrhein-Westfalen
Schifferstadt,"Schifferstadt, Stadt",Rheinland-Pfalz
Bergneustadt,"Bergneustadt, Stadt",Nordrhein-Westfalen
Telgte,"Telgte, Stadt",Nordrhein-Westfalen
Neufahrn b.Freising,Neufahrn b.Freising,Bayern
Gerlingen,"Gerlingen, Stadt",Baden-Württemberg
Schneverdingen,"Schneverdingen, Stadt",Niedersachsen
Eitorf,Eitorf,Nordrhein-Westfalen
Traunstein,"Traunstein, GKSt",Bayern
Großenhain,"Großenhain, Stadt",Sachsen
Bremervörde,"Bremervörde, Stadt",Niedersachsen
Hechingen,"Hechingen, Stadt",Baden-Württemberg
Mayen,"Mayen, Stadt",Rheinland-Pfalz
Schopfheim,"Schopfheim, Stadt",Baden-Württemberg
Leinefelde-Worbis,"Leinefelde-Worbis, Stadt",Thüringen
Südbrookmerland,Südbrookmerland,Niedersachsen
Bad Driburg,"Bad Driburg, Stadt",Nordrhein-Westfalen
Alzenau,"Alzenau, St",Bayern
Hessisch Oldendorf,"Hessisch Oldendorf, Stadt",Niedersachsen
Haldensleben,"Haldensleben, Stadt",Sachsen-Anhalt
Hemmingen,"Hemmingen, Stadt",Niedersachsen
Langen,"Langen, Stadt",Niedersachsen
Mölln,"Mölln, Stadt",Schleswig-Holstein
Karlsfeld,Karlsfeld,Bayern
Thale,"Thale, Stadt",Sachsen-Anhalt
Werdohl,"Werdohl, Stadt",Nordrhein-Westfalen
Schenefeld,"Schenefeld, Stadt",Schleswig-Holstein
Guben,"Guben, Stadt",Brandenburg
Schwalmstadt,"Schwalmstadt, Stadt",Hessen
Wittlich,"Wittlich, Stadt",Rheinland-Pfalz
Weil der Stadt,"Weil der Stadt, Stadt",Baden-Württemberg
Korntal-Münchingen,"Korntal-Münchingen, Stadt",Baden-Württemberg
Sarstedt,"Sarstedt, Stadt",Niedersachsen
Bad Friedrichshall,"Bad Friedrichshall, Stadt",Baden-Württemberg
Bad Dürkheim,"Bad Dürkheim, Stadt",Rheinland-Pfalz
Lilienthal,Lilienthal,Niedersachsen
Heusenstamm,"Heusenstamm, Stadt",Hessen
Burscheid,"Burscheid, Stadt",Nordrhein-Westfalen
Radeberg,"Radeberg, Stadt",Sachsen
Dillingen a.d.Donau,"Dillingen a.d.Donau, GKSt",Bayern
Heusweiler,Heusweiler,Saarland
Altena,"Altena, Stadt",Nordrhein-Westfalen
Tettnang,"Tettnang, Stadt",Baden-Württemberg
Marktoberdorf,"Marktoberdorf, St",Bayern
Hohe Börde,Hohe Börde,Sachsen-Anhalt
Bönen,Bönen,Nordrhein-Westfalen
Müllheim,"Müllheim, Stadt",Baden-Württemberg
Donauwörth,"Donauwörth, GKSt",Bayern
Vellmar,"Vellmar, Stadt",Hessen
Freudenberg,"Freudenberg, Stadt",Nordrhein-Westfalen
Bexbach,"Bexbach, Stadt",Saarland
Schwarzenberg/Erzgeb.,"Schwarzenberg/Erzgeb., Stadt",Sachsen
Frankenberg (Eder),"Frankenberg (Eder), Stadt",Hessen
Dingolfing,"Dingolfing, St",Bayern
Weißwasser/O.L.,"Weißwasser/O.L., Stadt",Sachsen
Wadgassen,Wadgassen,Saarland
Kronberg im Taunus,"Kronberg im Taunus, Stadt",Hessen
Kolbermoor,"Kolbermoor, St",Bayern
Bad Tölz,"Bad Tölz, St",Bayern
Bad Langensalza,"Bad Langensalza, Stadt",Thüringen
Buchen (Odenwald),"Buchen (Odenwald), Stadt",Baden-Württemberg
Eppelborn,Eppelborn,Saarland
Pfinztal,Pfinztal,Baden-Württemberg
Wittenberge,"Wittenberge, Stadt",Brandenburg
Lahnstein,"Lahnstein, Stadt",Rheinland-Pfalz
Weißenburg i.Bay.,"Weißenburg i.Bay., GKSt",Bayern
Bad Münder am Deister,"Bad Münder am Deister, Stadt",Niedersachsen
Swisttal,Swisttal,Nordrhein-Westfalen
Konz,"Konz, Stadt",Rheinland-Pfalz
Taufkirchen,Taufkirchen,Bayern
Uetersen,"Uetersen, Stadt",Schleswig-Holstein
Burghausen,"Burghausen, St",Bayern
Alzey,"Alzey, Stadt",Rheinland-Pfalz
Pohlheim,"Pohlheim, Stadt",Hessen
Bad Münstereifel,"Bad Münstereifel, Stadt",Nordrhein-Westfalen
Pfullingen,"Pfullingen, Stadt",Baden-Württemberg
Zossen,"Zossen, Stadt",Brandenburg
Sachsenheim,"Sachsenheim, Stadt",Baden-Württemberg
Parchim,"Parchim, Stadt",Mecklenburg-Vorpommern
Wörth am Rhein,"Wörth am Rhein, Stadt",Rheinland-Pfalz
Horn-Bad Meinberg,"Horn-Bad Meinberg, Stadt",Nordrhein-Westfalen
Schwalbach,Schwalbach,Saarland
Marktredwitz,"Marktredwitz, GKSt",Bayern
Rhauderfehn,Rhauderfehn,Niedersachsen
Gilching,Gilching,Bayern
Kreuzau,Kreuzau,Nordrhein-Westfalen
Wolfratshausen,"Wolfratshausen, St",Bayern
Oberasbach,"Oberasbach, St",Bayern
Kronach,"Kronach, St",Bayern
Bad Aibling,"Bad Aibling, St",Bayern
Finnentrop,Finnentrop,Nordrhein-Westfalen
Sinzig,"Sinzig, Stadt",Rheinland-Pfalz
Mühldorf a.Inn,"Mühldorf a.Inn, St",Bayern
Glinde,"Glinde, Stadt",Schleswig-Holstein
Bad Saulgau,"Bad Saulgau, Stadt",Baden-Württemberg
Aue,"Aue, Stadt",Sachsen
Schkeuditz,"Schkeuditz, Stadt",Sachsen
Illingen,Illingen,Saarland
Wassenberg,"Wassenberg, Stadt",Nordrhein-Westfalen
Hochheim am Main,"Hochheim am Main, Stadt",Hessen
Bad Reichenhall,"Bad Reichenhall, GKSt",Bayern
Finsterwalde,"Finsterwalde, Stadt",Brandenburg
Moosburg a.d.Isar,"Moosburg a.d.Isar, St",Bayern
Nidda,"Nidda, Stadt",Hessen
Gescher,"Gescher, Stadt",Nordrhein-Westfalen
Neuenhagen bei Berlin,Neuenhagen bei Berlin,Brandenburg
Wurzen,"Wurzen, Stadt",Sachsen
Renningen,"Renningen, Stadt",Baden-Württemberg
Bad Krozingen,"Bad Krozingen, Stadt",Baden-Württemberg
Holzwickede,Holzwickede,Nordrhein-Westfalen
Brakel,"Brakel, Stadt",Nordrhein-Westfalen
Eltville am Rhein,"Eltville am Rhein, Stadt",Hessen
Oerlinghausen,"Oerlinghausen, Stadt",Nordrhein-Westfalen
Nümbrecht,Nümbrecht,Nordrhein-Westfalen
Hoppegarten,Hoppegarten,Brandenburg
Bad Wildungen,"Bad Wildungen, Stadt",Hessen
Bendorf,"Bendorf, Stadt",Rheinland-Pfalz
Stockelsdorf,Stockelsdorf,Schleswig-Holstein
Bad Segeberg,"Bad Segeberg, Stadt",Schleswig-Holstein
Sulzbach/ Saar,"Sulzbach/ Saar, Stadt",Saarland
Halstenbek,Halstenbek,Schleswig-Holstein
Nauen,"Nauen, Stadt",Brandenburg
Illertissen,"Illertissen, St",Bayern
Cham,"Cham, St",Bayern
Lübbenau/Spreewald,"Lübbenau/Spreewald, Stadt",Brandenburg
Schmelz,Schmelz,Saarland
Halver,"Halver, Stadt",Nordrhein-Westfalen
Bobingen,"Bobingen, St",Bayern
Eutin,"Eutin, Stadt",Schleswig-Holstein
Großostheim,"Großostheim, M",Bayern
Michelstadt,"Michelstadt, Stadt",Hessen
Heilbad Heiligenstadt,"Heilbad Heiligenstadt, Stadt",Thüringen
Alsfeld,"Alsfeld, Stadt",Hessen
Damme,"Damme, Stadt",Niedersachsen
Kierspe,"Kierspe, Stadt",Nordrhein-Westfalen
Reinheim,"Reinheim, Stadt",Hessen
Schlüchtern,"Schlüchtern, Stadt",Hessen
Gunzenhausen,"Gunzenhausen, St",Bayern
Kirchhain,"Kirchhain, Stadt",Hessen
Wadern,"Wadern, Stadt",Saarland
Bad Säckingen,"Bad Säckingen, Stadt",Baden-Württemberg
Templin,"Templin, Stadt",Brandenburg
Künzell,Künzell,Hessen
Kirchlengern,Kirchlengern,Nordrhein-Westfalen
Penzberg,"Penzberg, St",Bayern
Vechelde,Vechelde,Niedersachsen
Hille,Hille,Nordrhein-Westfalen
Heidenau,"Heidenau, Stadt",Sachsen
Schiffweiler,Schiffweiler,Saarland
Garching b.München,"Garching b.München, St",Bayern
Stockach,"Stockach, Stadt",Baden-Württemberg
Diepholz,"Diepholz, Stadt",Niedersachsen
Schrobenhausen,"Schrobenhausen, St",Bayern
Losheim am See,Losheim am See,Saarland
Lauchhammer,"Lauchhammer, Stadt",Brandenburg
Loxstedt,Loxstedt,Niedersachsen
Remagen,"Remagen, Stadt",Rheinland-Pfalz
Zeulenroda-Triebes,"Zeulenroda-Triebes, Stadt",Thüringen
Freilassing,"Freilassing, St",Bayern
Leopoldshöhe,Leopoldshöhe,Nordrhein-Westfalen
Ginsheim-Gustavsburg,Ginsheim-Gustavsburg,Hessen
Königstein im Taunus,"Königstein im Taunus, Stadt",Hessen
Hude (Oldb),Hude (Oldb),Niedersachsen
Herzebrock-Clarholz,Herzebrock-Clarholz,Nordrhein-Westfalen
Vilshofen an der Donau,"Vilshofen an der Donau, St",Bayern
Seeheim-Jugenheim,Seeheim-Jugenheim,Hessen
Hövelhof,Hövelhof,Nordrhein-Westfalen
Hünfeld,"Hünfeld, Konrad-Zuse-Stadt",Hessen
Löbau,"Löbau, Stadt",Sachsen
Bruckmühl,"Bruckmühl, M",Bayern
Eilenburg,"Eilenburg, Stadt",Sachsen
Ismaning,Ismaning,Bayern
Erwitte,"Erwitte, Stadt",Nordrhein-Westfalen
Babenhausen,"Babenhausen, Stadt",Hessen
Blomberg,"Blomberg, Stadt",Nordrhein-Westfalen
Weilerswist,Weilerswist,Nordrhein-Westfalen
Bad Salzungen,"Bad Salzungen, Stadt",Thüringen
Eggenstein-Leopoldshafen,Eggenstein-Leopoldshafen,Baden-Württemberg
Königslutter am Elm,"Königslutter am Elm, Stadt",Niedersachsen
Wendlingen am Neckar,"Wendlingen am Neckar, Stadt",Baden-Württemberg
Wendelstein,"Wendelstein, M",Bayern
Karlsbad,Karlsbad,Baden-Württemberg
Rahden,"Rahden, Stadt",Nordrhein-Westfalen
Wardenburg,Wardenburg,Niedersachsen
Bad Arolsen,"Bad Arolsen, Stadt",Hessen
Bassum,"Bassum, Stadt",Niedersachsen
Brüggen,Brüggen,Nordrhein-Westfalen
Kamenz,"Kamenz, Stadt",Sachsen
Freiberg am Neckar,"Freiberg am Neckar, Stadt",Baden-Württemberg
Weener,"Weener, Stadt",Niedersachsen
Kelheim,"Kelheim, St",Bayern
Meerane,"Meerane, Stadt",Sachsen
Preetz,"Preetz, Stadt",Schleswig-Holstein
Holzkirchen,"Holzkirchen, M",Bayern
Hohenstein-Ernstthal,"Hohenstein-Ernstthal, Stadt",Sachsen
Sigmaringen,"Sigmaringen, Stadt",Baden-Württemberg
Neustadt b.Coburg,"Neustadt b.Coburg, GKSt",Bayern
Oyten,Oyten,Niedersachsen
Straelen,"Straelen, Stadt",Nordrhein-Westfalen
Wiefelstede,Wiefelstede,Niedersachsen
Selb,"Selb, GKSt",Bayern
Beckingen,Beckingen,Saarland
Boppard,"Boppard, Stadt",Rheinland-Pfalz
Hilchenbach,"Hilchenbach, Stadt",Nordrhein-Westfalen
Bürstadt,"Bürstadt, Stadt",Hessen
Mittweida,"Mittweida, Stadt",Sachsen
Bargteheide,"Bargteheide, Stadt",Schleswig-Holstein
Landsberg,"Landsberg, Stadt",Sachsen-Anhalt
Lohr a.Main,"Lohr a.Main, St",Bayern
Hückeswagen,"Hückeswagen, Stadt",Nordrhein-Westfalen
Marbach am Neckar,"Marbach am Neckar, Stadt",Baden-Württemberg
Bad Neustadt a.d.Saale,"Bad Neustadt a.d.Saale, St",Bayern
Ratekau,Ratekau,Schleswig-Holstein
Regenstauf,"Regenstauf, M",Bayern
Drensteinfurt,"Drensteinfurt, Stadt",Nordrhein-Westfalen
Bad Essen,Bad Essen,Niedersachsen
Hofgeismar,"Hofgeismar, Stadt",Hessen
Bad Bentheim,"Bad Bentheim, Stadt",Niedersachsen
Altdorf b.Nürnberg,"Altdorf b.Nürnberg, St",Bayern
Bad Lippspringe,"Bad Lippspringe, Stadt",Nordrhein-Westfalen
Niederkrüchten,Niederkrüchten,Nordrhein-Westfalen
Ribnitz-Damgarten,"Ribnitz-Damgarten, Stadt",Mecklenburg-Vorpommern
Hettstedt,"Hettstedt, Stadt",Sachsen-Anhalt
